gene,gene_name,TATA,class,tail-dependence,expression,Spt3,Spt7,Taf1,Taf13,Bdf1Bdf2,Esa1,Med1,Med5,Med10,Med14,Med15,TID,Mot1,Bur6,NCB2,Toa1,Ssl2
YPR036W-A,SPO24,TATA-containing,CR,tail-dependent,1605.616178,-1.454351615,-1.174115391,0.364835166,0.200644015,0.623171952,-0.774124792,0.112976279,-0.021264899,-1.192753489,-3.003707254,-1.084514123,-1.18565372,0.530663162,0.036514942,-0.058603718,-1.420126344,-5.377895653
YLR109W,AHP1,TATA-containing,CR,tail-dependent,732.7964237,-2.449515703,-3.683724322,-0.287279027,-0.653262453,0.07789114,-1.180976452,-0.055863835,-0.086993772,-3.121660999,-3.63685944,-1.375141294,-1.556763417,-0.111721213,-0.559301847,-0.661899831,-3.031730984,-5.765304244
YHR179W,OYE2,TATA-containing,CR,tail-dependent,690.2661049,-1.550724208,-1.977531666,-0.363773469,-0.634454984,-0.195689621,-0.809089048,-0.391148462,-0.373083289,-3.102520138,-3.601652386,-0.639742448,-0.451132608,-0.016169913,-0.365436844,-0.449109558,-3.699066053,-6.281614255
YGR209C,TRX2,TATA-containing,CR,tail-independent,604.7561255,-2.221473389,-2.191596807,0.178009942,0.218667846,0.467950354,-0.355520081,0.612155401,0.297621608,-1.951455201,-2.360889844,0.688569431,-0.278094915,0.445515686,-0.036400956,-0.257058003,-3.667684946,-5.29837381
YOL151W,GRE2,TATA-containing,CR,tail-dependent,550.2401357,-2.316813447,-2.975430957,-0.227656001,-0.343379024,0.147490784,-0.321649895,-0.060612502,-0.158748656,-2.988371551,-4.352371402,-1.172387877,-1.667626106,0.208691254,-0.235052114,-0.288117269,-2.973679051,-6.271374568
YGR192C,TDH3,TATA-containing,CR,tail-dependent,550.0449288,-2.986262307,-2.0676652,0.01565295,-0.459031028,0.444201042,0.224598609,-0.021727596,-0.180961379,-3.083940022,-2.915655239,-1.262290561,-1.182215492,-0.024550791,-0.308359481,-0.481197394,-2.237039197,-3.694477352
YOL109W,ZEO1,TATA-containing,CR,tail-dependent,542.5090742,-2.916285132,-2.367623055,-0.020122803,-0.470144525,0.105259958,-0.308726294,-0.053560485,-0.06238585,-3.602473083,-4.316346811,-1.47969706,-1.616669006,-0.110353666,-0.02116734,-0.308824731,-4.668697044,-5.897864348
YLR110C,CCW12,TATA-containing,CR,tail-dependent,436.5089442,-2.464837349,-2.46103313,-0.224192802,-0.58960925,0.041580265,0.162772444,0.004408238,-0.034448182,-3.325434724,-3.372967877,-0.969147814,-1.227027239,-0.092499922,-0.392070234,-0.568802824,-3.316818621,-4.70177779
YDR524C-B,YDR524C-B,TATA-containing,CR,tail-dependent,409.1774477,-1.375033209,-1.422944804,-0.278549611,-0.611321736,0.036140314,-0.826584942,0.016418553,-0.15286494,-3.193934913,-3.051184037,-1.003547623,-1.235006572,0.16128344,-0.166993808,-0.4333152,-3.148667106,-4.307662395
YGL008C,PMA1,TATA-containing,CR,tail-dependent,408.4669721,-2.829615712,-2.509955324,-0.461033588,-1.243708907,-0.073629011,-0.030692181,-0.061026941,0.257666486,-3.125328723,-3.275001573,-1.507774752,-1.594328669,0.208163299,-0.080101794,-0.02631381,-3.31304559,-4.82990856
YPL240C,HSP82,TATA-containing,CR,tail-independent,398.2015965,-3.541741996,-2.937633777,-1.650368396,-1.615416643,-0.545866774,0.310235918,-0.913541308,-0.557255425,-5.399735653,-4.840939984,-0.322246542,-0.124851362,0.355875619,-0.371330607,-0.208032141,-5.478309329,-6.367842041
YMR186W,HSC82,TATA-containing,CR,tail-independent,383.7342797,-2.475787305,-1.681272973,-1.088791439,-1.285565513,-0.29818187,0.214714679,-0.510582612,-0.354958284,-3.40331176,-3.215327047,-0.120924252,-0.159059273,0.20289414,-0.498628154,-0.269715564,-3.830330532,-4.725430481
YBR244W,GPX2,TATA-containing,CR,tail-independent,378.8099634,-2.724304494,-2.750412727,-0.45157132,-0.647077995,0.034002723,-1.637689548,0.472531266,0.403424991,-2.005259831,-2.454257471,1.089402837,-0.620862211,0.376101715,0.159245788,-0.031528035,-5.014883644,-5.467264987
YNL134C,YNL134C,TATA-less,CR,tail-dependent,370.2962766,-1.545571251,-1.540121634,-0.243574653,-0.399620885,0.114697207,-0.655310979,-0.151728259,-0.264729569,-3.395453474,-4.60375186,-0.15727523,-0.848724891,0.047035247,-0.43518338,-0.499619711,-3.932818819,-6.191853795
YHR174W,ENO2,TATA-less,CR,tail-dependent,357.2482559,-3.260759142,-2.923751404,-0.031018148,-0.778647792,0.493958244,0.452226865,-0.012198832,-0.035902558,-3.097018754,-2.806606698,-1.321955191,-1.060983158,-0.00449269,-0.511661291,-0.498223032,-2.638887745,-3.828731806
YCR012W,PGK1,TATA-containing,CR,tail-dependent,346.8416448,-3.362939514,-2.890738492,0.123465028,-0.320288255,0.507513639,0.776002537,0.017868485,-0.07266222,-3.263660138,-2.880765516,-1.678384382,-1.302714742,0.661645933,0.062287722,-0.020925736,-3.426733531,-4.69400074
YGR142W,BTN2,TATA-containing,CR,tail-independent,342.6848072,-3.489455258,-2.999421643,-1.893271676,-2.163887744,-0.615631412,0.467545011,-1.216329506,-0.584640642,-4.18978406,-3.157218369,0.491916329,0.87831756,0.370223348,-0.402803096,-0.252447296,-5.455128963,-6.406547258
YML028W,TSA1,TATA-containing,CR,tail-independent,335.0787884,-1.97104881,-2.233717672,-0.099008026,-0.458926794,0.426143082,-0.860458388,0.454861038,0.238216294,-1.812427319,-1.922095597,0.275376841,-0.653530238,0.202884781,-0.16923883,-0.302230699,-2.565413539,-4.874695133
YOR298C-A,MBF1,TATA-containing,CR,tail-independent,324.4958813,-2.458326293,-2.368486766,-1.286844687,-1.217329244,-0.397623496,-0.554890305,-0.451252073,-0.286691015,-3.778850852,-3.713526167,-0.205312654,-0.056669334,-0.054054046,-0.173405806,-0.185656281,-5.53721274,-6.295730332
